Index;surface_yx_20/10.min(epsX) [%];surface_yx_20/10.max(epsX) [%];surface_yx_20/10.avg(epsX) [%];surface_yx_30/15.min(epsX) [%];surface_yx_30/15.max(epsX) [%];surface_yx_30/15.avg(epsX) [%];surface_yx_40/20.min(epsX) [%];surface_yx_40/20.max(epsX) [%];surface_yx_40/20.avg(epsX) [%];surface_yx_20/10.min(epsY) [%];surface_yx_20/10.max(epsY) [%];surface_yx_20/10.avg(epsY) [%];surface_yx_30/15.min(epsY) [%];surface_yx_30/15.max(epsY) [%];surface_yx_30/15.avg(epsY) [%];surface_yx_40/20.min(epsY) [%];surface_yx_40/20.max(epsY) [%];surface_yx_40/20.avg(epsY) [%];surface_yx_20/10.min(patQ) [];surface_yx_20/10.max(patQ) [];surface_yx_20/10.avg(patQ) [];surface_yx_30/15.min(patQ) [];surface_yx_30/15.max(patQ) [];surface_yx_30/15.avg(patQ) [];surface_yx_40/20.min(patQ) [];surface_yx_40/20.max(patQ) [];surface_yx_40/20.avg(patQ) []
21;-0.824031;0.864198;0.040724;-0.843290;0.460836;0.033741;-0.113645;0.392522;0.038058;-2.552218;0.808953;-0.543500;-2.277471;0.242749;-0.512560;-2.213070;0.153606;-0.525890;2.090551;8.964567;5.095120;2.767717;8.449256;5.220768;2.781496;8.366879;5.335927
22;-0.803383;0.915155;0.129770;-0.900872;0.598567;0.120096;-0.062464;0.524340;0.125011;-3.016163;0.532423;-0.961014;-2.718847;-0.035579;-0.919749;-2.690715;-0.096942;-0.936834;2.104331;8.994095;5.099441;2.774278;8.405512;5.224987;2.793799;8.351131;5.341898
23;-0.833339;0.831160;0.039389;-1.045242;0.457257;0.030072;-0.124536;0.391439;0.036519;-2.548577;0.813607;-0.645139;-2.269592;0.242599;-0.607660;-2.245039;0.155926;-0.622152;2.073819;8.903543;5.095337;2.776903;8.358268;5.217378;2.772638;8.359990;5.337785
24;-0.766488;0.972941;0.143525;-0.788618;0.587118;0.133587;-0.057389;0.514570;0.138733;-2.988241;0.468344;-1.026010;-2.686362;-0.048376;-0.977630;-2.631855;-0.148219;-0.996926;2.123031;8.772637;5.090574;2.748031;8.297026;5.220419;2.807579;8.257381;5.336647
25;-0.807364;0.965570;0.047924;-0.748145;0.435071;0.039265;-0.121527;0.380273;0.043754;-2.594488;0.770912;-0.702901;-2.328703;0.248654;-0.661263;-2.263783;0.148674;-0.677949;2.048228;8.895669;5.092107;2.798775;8.500438;5.218882;2.793799;8.327264;5.334940
26;-0.769973;0.932850;0.140326;-0.608396;0.591113;0.130270;-0.026661;0.522030;0.134873;-3.048450;0.507804;-1.082177;-2.632554;-0.032318;-1.029120;-2.598405;-0.117773;-1.051908;2.171260;8.910433;5.088412;2.770779;8.381889;5.218125;2.761319;8.291093;5.334722
27;-0.775997;0.886205;0.046667;-0.585603;0.458854;0.037765;-0.162339;0.393883;0.042818;-2.590187;0.809963;-0.750143;-2.291080;0.256931;-0.701201;-2.216171;0.159676;-0.722151;2.052165;8.938976;5.092682;2.799650;8.495188;5.215966;2.789862;8.388041;5.332801
28;-0.754917;0.971959;0.146300;-0.344589;0.552098;0.135291;-0.057705;0.485194;0.139835;-2.886255;0.559400;-1.112900;-2.774944;-0.026364;-1.059565;-2.624720;-0.120802;-1.082703;2.102362;8.677165;5.091566;2.778653;8.354331;5.218789;2.777559;8.201772;5.334774
29;-0.832978;0.899576;0.069338;-0.453379;0.516279;0.058557;-0.163125;0.464570;0.063659;-2.571632;0.831550;-0.796613;-2.304413;0.237917;-0.746503;-2.259535;0.148326;-0.768508;2.173228;8.965551;5.088163;2.739283;8.423447;5.214373;2.786171;8.429133;5.330152
30;-0.952684;0.869093;0.149859;-0.345044;0.581996;0.139870;-0.047084;0.506952;0.145541;-2.882473;0.481931;-1.236392;-2.648393;-0.023318;-1.172039;-2.622552;-0.093973;-1.196482;2.098425;8.916339;5.093562;2.767717;8.486002;5.220374;2.784203;8.343504;5.336702
